category,scope,hazard,scenario,service,class_key,component,metric,unit,label,full_value,sample_v1_value,sample_v2_value,delta_abs,delta_pct,v2_delta_abs,v2_delta_pct,v2_vs_v1_delta_abs,v2_vs_v1_delta_pct,missing_in
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp100,,elec_hta_souterrain,,direct_damage_eur,eur,Elec HTA souterrain,0.0,0.0,0.0,0.0,,0.0,,0.0,,
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp100,,elec_hta_souterrain,,dysfunction_eur,eur,Elec HTA souterrain,0.0,0.0,0.0,0.0,,0.0,,0.0,,
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp100,,elec_hta_souterrain,,exposure_eur,eur,Elec HTA souterrain,3517855026.32,3517855026.32,3517855026.32,0.0,0.0,0.0,0.0,0.0,0.0,
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp100,,elec_hta_souterrain,,indirect_damage_eur,eur,Elec HTA souterrain,0.0,0.0,0.0,0.0,,0.0,,0.0,,
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp100,,elec_hta_souterrain,,total_damage_eur,eur,Elec HTA souterrain,0.0,0.0,0.0,0.0,,0.0,,0.0,,
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp1000,,eau_aep,,blocking_ouvrage_eur,eur,Eau AEP,416452899.91,412043510.8,413493990.64,-4409389.110000014,-1.0587965916320743,-2958909.2700000405,-0.7105027412798645,1450479.8399999738,0.35202103709479743,
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp1000,,eau_aep,,damage_eur,eur,Eau AEP,468597975.72,474398869.2,468862680.21,5800893.4799999595,1.2379254244722027,264704.48999994993,0.05648861149970439,-5536188.99000001,-1.1669903428176236,
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp1000,,eau_aep,,direct_damage_eur,eur,Eau AEP,52145075.81,62355358.41,55368689.57,10210282.599999994,19.58053074311945,3223613.759999998,6.182009921216371,-6986668.839999996,-11.204600563853926,
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp1000,,eau_aep,,dysfunction_eur,eur,Eau AEP,0.0,0.0,0.0,0.0,,0.0,,0.0,,
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp1000,,eau_aep,,exposure_eur,eur,Eau AEP,2466350827.1,2466350827.1,2466350827.1,0.0,0.0,0.0,0.0,0.0,0.0,
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp1000,,eau_aep,,indirect_damage_eur,eur,Eau AEP,416452899.91,412043510.8,413493990.64,-4409389.110000014,-1.0587965916320743,-2958909.2700000405,-0.7105027412798645,1450479.8399999738,0.35202103709479743,
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp1000,,eau_aep,,total_damage_eur,eur,Eau AEP,468597975.72,474398869.2,468862680.21,5800893.4799999595,1.2379254244722027,264704.48999994993,0.05648861149970439,-5536188.99000001,-1.1669903428176236,
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp1000,,eau_eu,,blocking_ouvrage_eur,eur,Eau EU,141662306.87,142054979.86,142582620.94,392672.99000000954,0.27718946463321104,920314.0699999928,0.64965345428445,527641.0799999833,0.3714344125915131,
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp1000,,eau_eu,,damage_eur,eur,Eau EU,158248764.22,163890239.83,162112064.7,5641475.610000014,3.5649413363867684,3863300.4799999893,2.4412831904514376,-1778175.130000025,-1.0849792713980342,
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp1000,,eau_eu,,direct_damage_eur,eur,Eau EU,16586457.35,21835259.97,19529443.75,5248802.619999999,31.645109677383875,2942986.4000000004,17.743309122004888,-2305816.219999999,-10.560058470419023,
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp1000,,eau_eu,,dysfunction_eur,eur,Eau EU,0.0,0.0,0.0,0.0,,0.0,,0.0,,
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp1000,,eau_eu,,exposure_eur,eur,Eau EU,784628997.21,784628997.21,784628997.21,0.0,0.0,0.0,0.0,0.0,0.0,
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp1000,,eau_eu,,indirect_damage_eur,eur,Eau EU,141662306.87,142054979.86,142582620.94,392672.99000000954,0.27718946463321104,920314.0699999928,0.64965345428445,527641.0799999833,0.3714344125915131,
